isd,district,county,enrollment_2021,english_learners_2021,el_share_pct,classification,locale,has_public_seizure_plan
743,SAUK CENTRE PUBLIC SCHOOL DISTRICT,Stearns County,1080,66,6.1,FOUND_MED_POLICY_ONLY,Town,0
84,SLEEPY EYE PUBLIC SCHOOL DISTRICT,Brown County,595,36,6.1,FOUND_MED_POLICY_ONLY,Rural,0
192,FARMINGTON PUBLIC SCHOOL DISTRICT,Dakota County,6909,408,5.9,FOUND_MED_POLICY_ONLY,Suburb,0
2888,CLINTON-GRACEVILLE-BEARDSLEY,Big Stone County,312,18,5.8,FOUND_MED_POLICY_ONLY,Rural,0
750,ROCORI PUBLIC SCHOOL DISTRICT,Stearns County,2374,137,5.8,FOUND_MED_POLICY_ONLY,Rural,0
253,GOODHUE PUBLIC SCHOOL DISTRICT,Goodhue County,703,41,5.8,FOUND_SEIZURE_SPECIFIC,Rural,1
497,LYLE PUBLIC SCHOOL DISTRICT,Mower County,306,17,5.6,FOUND_MED_POLICY_ONLY,Rural,0
659,NORTHFIELD PUBLIC SCHOOL DISTRICT,Rice County,3914,219,5.6,FOUND_MED_POLICY_ONLY,Town,0
2397,LE SUEUR-HENDERSON SCHOOL DISTRICT,Le Sueur County,946,52,5.5,FOUND_MED_POLICY_ONLY,Rural,0
112,EASTERN CARVER COUNTY PUBLIC SCHOOL,Carver County,9379,505,5.4,FOUND_SEIZURE_SPECIFIC,Suburb,1
833,South Washington County Schools,Washington County,18994,1008,5.3,FOUND_MED_POLICY_ONLY,Suburb,0
423,HUTCHINSON PUBLIC SCHOOL DISTRICT,McLeod County,2756,141,5.1,FOUND_SEIZURE_SPECIFIC,Town,1
858,ST. CHARLES PUBLIC SCHOOL DISTRICT,Winona County,1027,49,4.8,FOUND_MED_POLICY_ONLY,Rural,0
2180,MACCRAY School District,Chippewa County,720,34,4.7,FOUND_MED_POLICY_ONLY,Rural,0
549,PERHAM-DENT PUBLIC SCHOOL DISTRICT,Otter Tail County,1572,72,4.6,FOUND_MED_POLICY_ONLY,Rural,0
717,JORDAN PUBLIC SCHOOL DISTRICT,Scott County,1852,84,4.5,FOUND_SEIZURE_SPECIFIC,Town,1
624,WHITE BEAR LAKE SCHOOL DISTRICT,Ramsey County,8481,382,4.5,FOUND_SEIZURE_SPECIFIC,Suburb,1
