npi,name,city,state,zip5,lat,lon
1407924129,"ASCENSION WISCONSIN PHARMACY, INC.",MILWAUKEE,WI,53215,42.99922,-87.9468
1053587055,"ASCENSION WISCONSIN PHARMACY, INC.",FRANKLIN,WI,53132,42.8856,-88.01084
1013984194,"ASCENSION WISCONSIN PHARMACY, INC.",FRANKLIN,WI,53132,42.8856,-88.01084
1003851627,HY-VEE INC,DES MOINES,IA,50321,41.53945,-93.67288
1053353672,HY-VEE INC,KNOXVILLE,IA,50138,41.30073,-93.10425
1801028030,HY-VEE INC,MADISON,WI,53704,43.13688,-89.34735
1164602306,HY-VEE INC,LAURENS,IA,50554,42.84555,-94.84291
1003842477,HY-VEE INC,DAVENPORT,IA,52807,41.61062,-90.51687
1992731160,HY-VEE INC,DAVENPORT,IA,52802,41.49749,-90.63498
1245275007,HY-VEE INC,CEDAR RAPIDS,IA,52405,41.98684,-91.74659
1255374575,HY-VEE INC,CEDAR RAPIDS,IA,52402,42.02277,-91.65978
1891730222,HY-VEE INC,FAIRFIELD,IA,52556,41.01982,-91.92902
1952586976,HY-VEE INC,SHENANDOAH,IA,51601,40.72616,-95.34978
1992263388,HY-VEE INC,ROCHESTER,MN,55901,44.06977,-92.50688
1992096408,HY-VEE INC,CORNING,IA,50841,41.00973,-94.76344
1447034160,HY-VEE INC,OREGON,WI,53575,42.9337,-89.38998
1053938662,HY-VEE INC,OELWEIN,IA,50662,42.6904,-91.93483
1376573584,HY-VEE INC,SIOUX FALLS,SD,57105,43.52065,-96.73534
1942775663,HY-VEE INC,WINDOM,MN,56101,43.88314,-95.13734
1346276920,HY-VEE INC,WEBSTER CITY,IA,50595,42.46184,-93.82268
1770519431,HY-VEE INC,CHARITON,IA,50049,41.03564,-93.30104
1194751438,HY-VEE INC,CHARLES CITY,IA,50616,43.0812,-92.66096
1457742512,HY-VEE INC,WINTERSET,IA,50273,41.32937,-94.05413
1750849220,HY-VEE INC,STEWARTVILLE,MN,55976,43.86431,-92.4874
1659308344,HY-VEE INC,CORALVILLE,IA,52241,41.69869,-91.59474
1972748861,HY-VEE INC,CLARINDA,IA,51632,40.74694,-95.04956
1528349347,HY-VEE INC,WATERLOO,IA,50701,42.41584,-92.34144
1992731087,HY-VEE INC,MARCUS,IA,51035,42.77878,-95.79948
1750058772,HY-VEE INC,GRIMES,IA,50111,41.69178,-93.80431
1972125367,HY-VEE INC,DES MOINES,IA,50321,41.53945,-93.67288
1295761831,HY-VEE INC,HUMBOLDT,IA,50548,42.71503,-94.22545
1578505053,HY-VEE INC,MT PLEASANT,IA,52641,40.98967,-91.5872
1326083718,HY-VEE INC,MASON CITY,IA,50401,43.15371,-93.20016
1649200841,HY-VEE INC,SIOUX FALLS,SD,57106,43.51054,-96.83901
1720024623,HY-VEE INC,ALGONA,IA,50511,43.07388,-94.22014
1912933565,HY-VEE INC,FORT MADISON,IA,52627,40.66821,-91.34874
1740478452,HY-VEE INC,NEWTON,IA,50208,41.71025,-93.0383
1154886216,HY-VEE INC,FOREST CITY,IA,50436,43.26285,-93.6634
1144259573,HY-VEE INC,MARION,IA,52302,42.06554,-91.57061
1083640114,HY-VEE INC,IOWA CITY,IA,52240,41.63545,-91.50162
1669887642,HY-VEE INC,CORYDON,IA,50060,40.75342,-93.31808
1023054533,HY-VEE INC,CLINTON,IA,52732,41.90219,-90.25075
1225596794,HY-VEE INC,SAINT CHARLES,MN,55972,43.99619,-92.04897
1861422115,HY-VEE INC,CEDAR RAPIDS,IA,52402,42.02277,-91.65978
1265461669,HY-VEE INC,MUSCATINE,IA,52761,41.43871,-91.05848
1972548303,HY-VEE INC,JEFFERSON,IA,50129,42.01447,-94.3768
1881620060,HY-VEE INC,CRESTON,IA,50801,41.07972,-94.39127
1740216902,HY-VEE INC,WINONA,MN,55987,43.98519,-91.63469
1821024373,HY-VEE INC,WATERLOO,IA,50703,42.54851,-92.28049
1881620276,HY-VEE INC,PLEASANT HILL,IA,50327,41.58155,-93.48471
1356372700,HY-VEE INC,OTTUMWA,IA,52501,41.03574,-92.4315
1376885152,HY-VEE INC,MADISON,WI,53711,43.01504,-89.40923
1578504981,HY-VEE INC,WAPELLO,IA,52653,41.16722,-91.15658
1326077959,HY-VEE INC,DAVENPORT,IA,52807,41.61062,-90.51687
1447975925,HY-VEE INC,ASHWAUBENON,WI,54304,44.49407,-88.0679
1982647236,HY-VEE INC,CEDAR RAPIDS,IA,52404,41.9238,-91.69422
1396780912,HY-VEE INC,DES MOINES,IA,50320,41.52873,-93.57062
1447292081,HY-VEE INC,GRIMES,IA,50111,41.69178,-93.80431
1134165624,HY-VEE INC,CEDAR FALLS,IA,50613,42.53309,-92.48895
1114963477,HY-VEE INC,STORM LAKE,IA,50588,42.65776,-95.16434
1780610295,HY-VEE INC,INDIANOLA,IA,50125,41.33363,-93.57962
1407439359,HY-VEE INC,HARTFORD,SD,57033,43.61913,-96.95759
1255369054,HY-VEE INC,WEST DES MOINES,IA,50266,41.56942,-93.79934
1487683728,HY-VEE INC,IOWA CITY,IA,52245,41.6708,-91.50768
1598792160,HY-VEE INC,WEST DES MOINES,IA,50266,41.56942,-93.79934
1639105158,HY-VEE INC,IOWA CITY,IA,52245,41.6708,-91.50768
1770511933,HY-VEE INC,MUSCATINE,IA,52761,41.43871,-91.05848
1467500439,HY-VEE INC,CEDAR RAPIDS,IA,52404,41.9238,-91.69422
1619903341,HY-VEE INC,ALBIA,IA,52531,41.02676,-92.81433
1952337347,HY-VEE INC,RED OAK,IA,51566,41.0163,-95.2313
1043241300,HY-VEE INC,AMES,IA,50014,42.04855,-93.69449
1265469761,HY-VEE INC,IOWA FALLS,IA,50126,42.50703,-93.24705
1073819629,HY-VEE INC,WORTHINGTON,MN,56187,43.62385,-95.58286
1609802081,HY-VEE INC,SPIRIT LAKE,IA,51360,43.4425,-95.08759
1356387732,HY-VEE INC,GRINNELL,IA,50112,41.7313,-92.71481
1255367983,HY-VEE INC,ALTOONA,IA,50009,41.64447,-93.45794
1902848229,HY-VEE INC,AMES,IA,50010,42.0336,-93.58826
1760940233,HY-VEE INC,SPRING VALLEY,MN,55975,43.67542,-92.37189
1104855592,HY-VEE INC,MT PLEASANT,IA,52641,40.98967,-91.5872
1457381097,HY-VEE INC,WEST DES MOINES,IA,50265,41.55553,-93.73736
1780629162,HY-VEE INC,SIOUX CITY,IA,51104,42.53542,-96.40413
1063440550,HY-VEE INC,CEDAR RAPIDS,IA,52405,41.98684,-91.74659
1184650558,HY-VEE INC,DUBUQUE,IA,52002,42.52478,-90.77322
1770912198,HY-VEE INC,LEON,IA,50144,40.73871,-93.74101
1871539882,HY-VEE INC,ATLANTIC,IA,50022,41.41596,-95.0018
1790240851,HY-VEE INC,EMMETSBURG,IA,50536,43.1174,-94.70157
1013546308,HY-VEE INC,VINTON,IA,52349,42.17237,-92.00562
1831669324,HY-VEE INC,DURANT,IA,52747,41.61006,-90.91147
1700816915,HY-VEE INC,SIOUX FALLS,SD,57103,43.54647,-96.68894
1003852997,HY-VEE INC,BURLINGTON,IA,52601,40.85501,-91.112
1083049126,HY-VEE INC,LAMONI,IA,50140,40.64211,-93.98213
1487690384,HY-VEE INC,BETTENDORF,IA,52722,41.56601,-90.46662
1902840101,HY-VEE INC,OTTUMWA,IA,52501,41.03574,-92.4315
1427087956,HY-VEE INC,CEDAR RAPIDS,IA,52403,41.96873,-91.5804
1497781751,HY-VEE INC,WASHINGTON,IA,52353,41.29844,-91.71326
1093744435,HY-VEE INC,MARSHALLTOWN,IA,50158,42.05031,-92.90058
1033655360,HY-VEE INC,DES MOINES,IA,50309,41.58487,-93.62063
1659307197,HY-VEE INC,URBANDALE,IA,50322,41.63362,-93.73618
1073558607,HY-VEE INC,WEST DES MOINES,IA,50266,41.56942,-93.79934
