isd,district,county,locale,enrollment_2024,seizure_classification,has_public_seizure_plan,support_staff_fte_nces2024,nurse_risk_tier,prob_no_lsn_based_on_mdh2022,dual_risk_no_plan_likely_no_nurse,county_uninsured_pct,county_disability_pct,combined_risk_score,nces_leaid,nces_state_leaid
85,Springfield Public School District,Brown County,Rural,653,FOUND_SEIZURE_SPECIFIC,True,6.0,ELEVATED_RISK_MID,60%,False,8.1,30.2,7,2733390,MN-010085
480,Onamia Public School District,Mille Lacs County,Rural,556,FOUND_SEIZURE_SPECIFIC,True,13.0,ELEVATED_RISK_MID,60%,False,8.3,32.7,7,2725050,MN-010480
2890,Renville County West Schools,Renville County,Rural,548,FOUND_SEIZURE_SPECIFIC,True,5.0,ELEVATED_RISK_MID,60%,False,9.8,33.2,7,2700163,MN-012890
768,Hancock Public School District,Stevens County,Rural,437,FOUND_SEIZURE_SPECIFIC,True,2.0,HIGH_RISK_SMALL,83%,False,9.7,29.5,7,2713380,MN-010768
545,Henning Public School District,Otter Tail County,Rural,381,FOUND_SEIZURE_SPECIFIC,True,3.0,HIGH_RISK_SMALL,83%,False,7.5,30.6,7,2713860,MN-010545
742,St. Cloud,Stearns County,City,9940,FOUND_MED_POLICY_ONLY,False,280.0,LOW_RISK_LARGE,7%,False,7.9,27.6,6,2733510,MN-010742
833,South Washington County,Washington County,Suburb,19578,FOUND_MED_POLICY_ONLY,False,386.0,LOW_RISK_LARGE,7%,False,5.8,23.5,6,2733810,MN-010833
286,Brooklyn Center,Hennepin County,Suburb,2174,FOUND_MED_POLICY_ONLY,False,87.0,LOW_RISK_LARGE,7%,False,7.5,25.0,6,2706240,MN-010286
861,Winona Area,Winona County,Town,2465,FOUND_MED_POLICY_ONLY,False,40.0,LOW_RISK_LARGE,7%,False,7.3,29.1,6,2744070,MN-010861
728,Elk River Public School District,Sherburne County,Suburb,14577,FOUND_MED_POLICY_ONLY,False,297.0,LOW_RISK_LARGE,7%,False,7.1,27.3,6,2711370,MN-010728
621,Mounds View Public School District,Ramsey County,Suburb,11934,NOT_FOUND,False,191.0,LOW_RISK_LARGE,7%,False,7.8,27.9,6,2722950,MN-010621
276,Minnetonka Public School District,Hennepin County,City,11323,FOUND_MED_POLICY_ONLY,False,139.0,LOW_RISK_LARGE,7%,False,7.5,25.0,6,2711670,MN-010276
152,Moorhead Area Public Schools,Clay County,Suburb,7571,FOUND_MED_POLICY_ONLY,False,100.0,LOW_RISK_LARGE,7%,False,7.2,27.4,6,2721420,MN-010152
192,Farmington Public School District,Dakota County,Suburb,6458,FOUND_MED_POLICY_ONLY,False,99.0,LOW_RISK_LARGE,7%,False,7.1,25.8,6,2711820,MN-010192
283,St. Louis Park Public School District,Hennepin County,City,4446,FOUND_MED_POLICY_ONLY,False,92.0,LOW_RISK_LARGE,7%,False,7.5,25.0,6,2733780,MN-010283
882,Monticello Public School District,Wright County,Town,4013,FOUND_MED_POLICY_ONLY,False,52.0,LOW_RISK_LARGE,7%,False,6.8,26.0,6,2721390,MN-010882
721,New Prague Area Schools,Scott County,Town,3980,FOUND_MED_POLICY_ONLY,False,43.0,LOW_RISK_LARGE,7%,False,6.6,23.7,6,2723430,MN-010721
748,Sartell-St. Stephen School District,Stearns County,Suburb,3943,FOUND_MED_POLICY_ONLY,False,39.0,LOW_RISK_LARGE,7%,False,7.9,27.6,6,2732820,MN-010748
199,Inver Grove Heights Schools,Dakota County,Suburb,3427,FOUND_MED_POLICY_ONLY,False,66.0,LOW_RISK_LARGE,7%,False,7.1,25.8,6,2715030,MN-010199
13,Columbia Heights Public School Dist,Anoka County,Suburb,3516,FOUND_MED_POLICY_ONLY,False,65.0,LOW_RISK_LARGE,7%,False,7.5,28.1,6,2709510,MN-010013
726,Becker Public School District,Sherburne County,Rural,2877,FOUND_MED_POLICY_ONLY,False,39.0,LOW_RISK_LARGE,7%,False,7.1,27.3,6,2703870,MN-010726
138,North Branch Area Public Schools,Chisago County,Rural,2704,FOUND_MED_POLICY_ONLY,False,26.0,LOW_RISK_LARGE,7%,False,7.0,28.4,6,2723820,MN-010138
14,Fridley Public School District,Anoka County,Suburb,2712,FOUND_MED_POLICY_ONLY,False,45.0,LOW_RISK_LARGE,7%,False,7.5,28.1,6,2712420,MN-010014
