rank,isd,district,county,locale,classification,confirmation_status,nurse_risk_tier,prob_no_nurse,school_year,total_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,suppression_flag
130,195,Randolph Public School District,Dakota County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",440,67,14,3.18,not_suppressed_in_source
131,84,Sleepy Eye Public School District,Brown County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",827,153,14,1.69,not_suppressed_in_source
132,858,St. Charles Public School District,Winona County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",967,156,14,1.45,not_suppressed_in_source
133,435,Waubun-Ogema-White Earth Schools,Mahnomen County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",619,138,14,2.26,not_suppressed_in_source
134,803,Wheaton Area Public School District,Traverse County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",290,68,14,4.83,not_suppressed_in_source
135,786,Bertha-Hewitt Public School District,Todd County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",500,122,13,2.6,not_suppressed_in_source
136,2860,Blue Earth Area School District,Faribault County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1151,213,13,1.13,not_suppressed_in_source
137,432,Mahnomen Public School District,Mahnomen County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",770,212,13,1.69,not_suppressed_in_source
138,712,Mountain Iron-Buhl School District,St. Louis County,Town,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",592,119,13,2.2,not_suppressed_in_source
139,319,Nashwauk-Keewatin School District,Itasca County,Rural,NOT_VERIFIABLE,in_progress,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",516,142,13,2.52,not_suppressed_in_source
140,333,Ogilvie Public School District,Kanabec County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",492,121,13,2.64,not_suppressed_in_source
141,630,Red Lake Falls Public School Dist.,Red Lake County,Rural,NOT_FOUND,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",366,56,13,3.55,not_suppressed_in_source
142,2884,Red Rock Central School District,Redwood County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",482,93,13,2.7,not_suppressed_in_source
143,2904,Tracy Area Public School District,Lyon County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",777,154,13,1.67,not_suppressed_in_source
144,811,Wabasha-Kellogg School District,Wabasha County,Suburb,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",559,106,13,2.33,not_suppressed_in_source
145,91,Barnum Public School District,Carlton County,Rural,NOT_VERIFIABLE,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",606,139,12,1.98,not_suppressed_in_source
146,891,Canby Public School District,Yellow Medicine County,Rural,NOT_VERIFIABLE,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",574,74,12,2.09,not_suppressed_in_source
147,2898,Westbrook-Walnut Grove Schools,Cottonwood County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",488,109,12,2.46,not_suppressed_in_source
148,473,Isle Public School District,Mille Lacs County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",342,74,11,3.22,not_suppressed_in_source
149,390,Lake Of The Woods School District,Lake of the Woods County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",428,83,11,2.57,not_suppressed_in_source
150,441,Marshall County Central Schools,Marshall County,Rural,NOT_VERIFIABLE,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",321,46,11,3.43,not_suppressed_in_source
151,547,Parkers Prairie Public Schools,Otter Tail County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",440,91,11,2.5,not_suppressed_in_source
152,548,Pelican Rapids Public Schools,Otter Tail County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",1011,155,11,1.09,not_suppressed_in_source
153,75,St. Clair Public School District,Blue Earth County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",393,57,11,2.8,not_suppressed_in_source
154,511,Adrian Public School District,Nobles County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",455,81,10,2.2,not_suppressed_in_source
155,599,Fertile-Beltrami School District,Polk County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",404,63,10,2.48,not_suppressed_in_source
156,738,Holdingford Public School District,Stearns County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",804,106,10,1.24,not_suppressed_in_source
157,837,Madelia Public School District,Watonwan County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",679,114,10,1.47,not_suppressed_in_source
158,308,Nevis Public School District,Hubbard County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",382,83,10,2.62,not_suppressed_in_source
159,507,Nicollet Public School District,Nicollet County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",379,59,10,2.64,not_suppressed_in_source
160,500,Southland Public School District,Mower County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",565,122,10,1.77,not_suppressed_in_source
161,261,Ashby Public School District,Grant County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",236,48,9,3.81,small_count_1_to_9
162,2906,Red Lake County Central Public Sch,Red Lake County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",330,67,9,2.73,small_count_1_to_9
163,2902,Rtr Public Schools,Lincoln County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",539,90,9,1.67,small_count_1_to_9
164,818,Verndale Public School District,Wadena County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",354,70,9,2.54,small_count_1_to_9
165,577,Willow River Public School District,Pine County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",403,86,9,2.23,small_count_1_to_9
166,2910,Ada-Borup-West Public Schools,Norman County,Rural,NOT_VERIFIABLE,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",583,117,8,1.37,small_count_1_to_9
167,696,Ely Public School District,St. Louis County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",434,80,8,1.84,small_count_1_to_9
168,505,Fulda Public School District,Murray County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",384,97,8,2.08,small_count_1_to_9
169,330,Heron Lake-Okabena School District,Jackson County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",239,46,8,3.35,small_count_1_to_9
170,671,Hills-Beaver Creek School District,Rock County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",375,56,8,2.13,small_count_1_to_9
171,404,Lake Benton Public School District,Lincoln County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",160,30,8,5.0,small_count_1_to_9
172,118,Northland Community Schools,Cass County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",401,162,8,2.0,small_count_1_to_9
173,391,Cleveland Public School District,Le Sueur County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",386,57,7,1.81,small_count_1_to_9
174,601,Fosston Public School District,Polk County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",502,103,7,1.39,small_count_1_to_9
175,2886,Glenville-Emmons School District,Freeborn County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",285,57,7,2.46,small_count_1_to_9
176,2,Hill City Public School District,Aitkin County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",221,71,7,3.17,small_count_1_to_9
177,297,Spring Grove School District,Houston County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",343,61,7,2.04,small_count_1_to_9
178,2358,Tri-County School District,Kittson County,Rural,NOT_FOUND,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",273,52,7,2.56,small_count_1_to_9
179,514,Ellsworth Public School District,Nobles County,Rural,FOUND_MED_POLICY_ONLY,,ZERO_SUPPORT_STAFF,95%,"2025-26 (Dec 1, 2025 count)",134,23,6,4.48,small_count_1_to_9
180,403,Ivanhoe Public School District,Lincoln County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",198,35,6,3.03,small_count_1_to_9
181,497,Lyle Public School District,Mower County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",197,69,6,3.05,small_count_1_to_9
182,486,Swanville Public School District,Morrison County,Rural,NOT_FOUND,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",268,44,6,2.24,small_count_1_to_9
183,914,Ulen-Hitterdal Public School Dist,Clay County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",280,49,6,2.14,small_count_1_to_9
184,487,Upsala Public School District,Morrison County,Rural,NOT_VERIFIABLE,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",349,53,6,1.72,small_count_1_to_9
185,242,Alden-Conger Public School District,Freeborn County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",245,46,5,2.04,small_count_1_to_9
186,592,Climax-Shelly Public Schools,Polk County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",115,34,5,4.35,small_count_1_to_9
187,402,Hendricks Public School District,Lincoln County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",154,20,5,3.25,small_count_1_to_9
188,264,Herman-Norcross Community School,Grant County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",105,25,5,4.76,small_count_1_to_9
189,36,Kelliher Public School District,Beltrami County,Rural,FOUND_MED_POLICY_ONLY,pending,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",163,34,5,3.07,small_count_1_to_9
190,229,Lanesboro Public School District,Fillmore County,Rural,NOT_FOUND,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",282,49,5,1.77,small_count_1_to_9
191,306,Laporte Public School District,Hubbard County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",217,55,5,2.3,small_count_1_to_9
192,2856,Stephen-Argyle Central Schools,Marshall County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",288,43,5,1.74,small_count_1_to_9
193,676,Badger Public School District,Roseau County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",171,31,4,2.34,small_count_1_to_9
194,836,Butterfield-Odin Public Schools,Watonwan County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",227,51,4,1.76,small_count_1_to_9
195,852,Campbell-Tintah Public Schools,Wilkin County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",81,18,4,4.94,small_count_1_to_9
196,771,Chokio-Alberta Public Schools,Stevens County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",161,34,4,2.48,small_count_1_to_9
197,81,Comfrey Public School District,Brown County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",132,23,4,3.03,small_count_1_to_9
198,95,Cromwell-Wright Public Schools,Carlton County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",246,56,4,1.63,small_count_1_to_9
199,238,Mabel-Canton Public School District,Fillmore County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",315,74,4,1.27,small_count_1_to_9
200,707,Nett Lake Public School District,St. Louis County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",66,28,4,6.06,small_count_1_to_9
201,2215,Norman County East School District,Norman County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",305,68,4,1.31,small_count_1_to_9
202,2907,Round Lake-Brewster Public Schools,Nobles County,Rural,NOT_FOUND,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",239,48,4,1.67,small_count_1_to_9
203,100,Wrenshall Public School District,Carlton County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",266,62,4,1.5,small_count_1_to_9
204,600,Fisher Public School District,Polk County,Rural,FOUND_MED_POLICY_ONLY,in_progress,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",146,23,3,2.05,small_count_1_to_9
205,447,Grygla Public School District,Marshall County,Rural,NOT_FOUND,in_progress,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",120,28,3,2.5,small_count_1_to_9
206,815,Prinsburg Public School District,Kandiyohi County,Rural,NOT_VERIFIABLE,,ZERO_SUPPORT_STAFF,95%,"2025-26 (Dec 1, 2025 count)",396,21,3,0.76,small_count_1_to_9
207,850,Rothsay Public School District,Wilkin County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",194,29,3,1.55,small_count_1_to_9
208,550,Underwood Public School District,Otter Tail County,Rural,NOT_FOUND,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",313,39,3,0.96,small_count_1_to_9
209,801,Browns Valley Public School Dist,Traverse County,Rural,NOT_FOUND,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",96,27,2,2.08,small_count_1_to_9
210,581,Edgerton Public School District,Pipestone County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",592,53,2,0.34,small_count_1_to_9
211,698,Floodwood Public School District,St. Louis County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",160,34,2,1.25,small_count_1_to_9
212,415,Lynd Public School District,Lyon County,Rural,FOUND_MED_POLICY_ONLY,,ZERO_SUPPORT_STAFF,95%,"2025-26 (Dec 1, 2025 count)",154,20,2,1.3,small_count_1_to_9
213,363,South Koochiching School District,Koochiching County,Rural,NOT_VERIFIABLE,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",164,30,2,1.22,small_count_1_to_9
214,458,Truman Public School District,Martin County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",321,62,2,0.62,small_count_1_to_9
215,2536,Granada Huntley East Chain,Martin County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",259,47,1,0.39,small_count_1_to_9
216,356,Lancaster Public School District,Kittson County,Rural,NOT_VERIFIABLE,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",150,35,1,0.67,small_count_1_to_9
217,362,Littlefork-Big Falls School Dist.,Koochiching County,Rural,NOT_VERIFIABLE,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",182,27,1,0.55,small_count_1_to_9
218,323,Franconia Public School District,Washington County,Rural,NOT_VERIFIABLE,,ZERO_SUPPORT_STAFF,95%,"2025-26 (Dec 1, 2025 count)",0,2,0,,not_suppressed_in_source
219,25,Pine Point Public School District,Becker County,Rural,FOUND_MED_POLICY_ONLY,,ZERO_SUPPORT_STAFF,95%,"2025-26 (Dec 1, 2025 count)",53,18,0,0.0,not_suppressed_in_source
