rank,isd,district,county,locale,classification,confirmation_status,nurse_risk_tier,prob_no_nurse,school_year,total_enrollment,sped_count,ohd_count,ohd_share_of_enrollment_pct,suppression_flag
95,2897,Redwood Area School District,Redwood County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1396,364,20,1.43,not_suppressed_in_source
96,743,Sauk Centre Public School District,Stearns County,Town,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1378,275,20,1.45,not_suppressed_in_source
97,2134,United South Central Schools,Faribault County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",914,179,20,2.19,not_suppressed_in_source
98,787,Browerville Public School District,Todd County,Rural,NOT_FOUND,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",598,143,19,3.18,not_suppressed_in_source
99,2580,East Central School District,Pine County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",800,155,19,2.38,not_suppressed_in_source
100,739,Kimball Public School District,Stearns County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",738,162,19,2.57,not_suppressed_in_source
101,2889,Lake Park Audubon School District,Becker County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",719,151,19,2.64,not_suppressed_in_source
102,740,Melrose Public School District,Stearns County,Rural,FOUND_MED_POLICY_ONLY,,LOW_RISK_LARGE,7%,"2025-26 (Dec 1, 2025 count)",1621,290,19,1.17,not_suppressed_in_source
103,173,Mountain Lake Public Schools,Cottonwood County,Rural,FOUND_MED_POLICY_ONLY,,HIGH_RISK_SMALL,83%,"2025-26 (Dec 1, 2025 count)",627,140,19,3.03,not_suppressed_in_source
104,2169,Murray County Central Schools,Murray County,Rural,NOT_FOUND,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",721,156,19,2.64,not_suppressed_in_source
105,2174,Pine River-Backus School District,Cass County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",913,235,19,2.08,not_suppressed_in_source
106,32,Blackduck Public School,Beltrami County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",559,134,18,3.22,not_suppressed_in_source
107,299,Caledonia Public School District,Houston County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",955,145,18,1.88,not_suppressed_in_source
108,317,Deer River Public School District,Itasca County,Rural,FOUND_MED_POLICY_ONLY,,ELEVATED_RISK_MID,60%,"2025-26 (Dec 1, 2025 count)",786,229,18,2.29,not_suppressed_in_source
